,№,General standard #,Freq.,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning
,7185,7185,7445,金 167.6,6,"0,000003%",,,11,铥,diū,diu,first,thulium
,7186,7186,—,金 167.6,,,,,11,铴,tāng,tang,first,gong
,7187,7187,—,牛 93.7,,,,,11,牻,máng,mang,second,
,7188,7188,8506,牛 93.7,2,"0,000001%",,,11,牿,gù,gu,fourth,shed or pen for cattle
,7189,7189,8371,禾 115.6,2,"0,000001%",,,11,稆,lǚ,lü,third,wild grain
,7190,7190,5449,竹 118.5,120,"0,000062%",,,11,笱,gǒu,gou,third,"a basket trap for fish, placed in the opening of a weir"
,7191,7191,—,竹 118.5,,,,,11,笯,nú,nu,second,a bird-cage
,7192,7192,—,人 9.9,,,,,11,偰,xiè,xie,fourth,contract
,7193,7193,—,人 9.9,,,,,11,偡,zhàn,zhan,fourth,
,7194,7194,5975,鳥 196.6,65,"0,000034%",,,11,鸺,xiū,xiu,first,"horned owl, scops chinensis"
,7195,7195,—,人 9.9,,,,,11,偭,miǎn,mian,third,transgress
,7196,7196,—,人 9.9,,,,,11,偲,cāi,cai,first,talented; urgent
,7197,7197,—,人 9.9,,,,,11,偁,chēng,cheng,first,state
,7198,7198,—,白 106.6,,,,,11,㿠,huàng,huang,fourth,
,7199,7199,—,邑 163.9,,,,,11,鄅,yǔ,yu,third,
,7200,7200,—,人 9.9,,,,,11,偓,wò,wo,fourth,to fuss
,7201,7201,—,彳 60.8,,,,,11,徛,jì,ji,fourth,to cross over
,7202,7202,7270,行 144.5,8,"0,000004%",,,11,衒,xuàn,xuan,fourth,"brag; show off, promote oneself"
,7203,7203,6227,舟 137.5,44,"0,000023%",,,11,舳,zhú,zhu,second,stern of ship
,7204,7204,7327,舟 137.5,7,"0,000004%",,,11,舲,líng,ling,second,small boat with windows; houseboat
,7205,7205,8279,鳥 196.6,2,"0,000001%",,,11,鸼,zhōu,zhou,first,
,7206,7206,—,心 61.7,,,,,11,悆,yù,yu,fourth,happy
,7207,7207,—,邑 163.9,,,,,11,鄃,shū,shu,first,
,7208,7208,—,瓦 98.7,,,,,11,瓻,chī,chi,first,jar
,7209,7209,—,豸 153.4,,,,,11,䝙,chū,chu,first,a kind of animal like a tiger; fierce wild beasts
,7210,7210,7997,肉 130.7,3,"0,000002%",,,11,脶,luó,luo,second,lines
,7211,7211,6735,肉 130.7,19,"0,000010%",,,11,脞,cuǒ,cuo,third,minced meat; trifles
,7212,7212,9477,肉 130.7,1,"0,000001%",,,11,脟,liè,lie,fourth,
,7213,7213,—,肉 130.7,,,,,11,䏲,dié,die,second,"(same as胅) protruded bones, swelling, a crooked nose"
,7214,7214,7398,魚 195.3,7,"0,000004%",,,11,鱾,jǐ,ji,third,name of fish
,7215,7215,—,犬 94.8,,,,,11,猇,xiāo,xiao,first,the scream or roar of a tiger; to intimidate; to scare
,7216,7216,5928,犬 94.8,69,"0,000036%",,,11,猊,ní,ni,second,lion; wild beast; wild horse
,7217,7217,—,犬 94.8,,,,,11,猄,jīng,jing,first,
,7218,7218,7451,角 148.4,6,"0,000003%",,,11,觖,jué,jue,second,to long for; dissatisfied to criticize
,7219,7219,—,亠 8.9,,,,,11,𠅤,xí,xi,second,surname
,7220,7220,—,广 53.8,,,,,11,庱,chěng,cheng,third,"ancient area of modern day Danyang City, Jiangsu Province, surname"
,7221,7221,—,广 53.11,,,,,11,庼,qǐng,qing,third,
,7222,7222,7254,广 53.8,8,"0,000004%",,,11,庳,bì,bi,fourth,a low-built house
,7223,7223,—,疒 104.6,,,,,11,痓,chì,chi,fourth,
,7224,7224,9020,鳥 196.6,1,"0,000001%",,,17,䴔,jiāo,jiao,first,the fishing cormorant
,7225,7225,—,立 117.8,,,,,11,竫,jìng,jing,fourth,
,7226,7226,—,土 32.8,,,,,11,堃,kūn,kun,first,compliance; obedience; female
,7227,7227,5242,門 169.8,145,"0,000075%",,,11,阌,wén,wen,second,"wen xiang, Henan province"
,7228,7228,6337,羊 123.5,37,"0,000019%",,,11,羝,dī,di,first,"ram, he-goat"
,7229,7229,8963,羊 123.5,1,"0,000001%",,,11,羕,yàng,yang,fourth,
,7230,7230,—,火 86.7,,,,,11,焆,juān,juan,first,
,7231,7231,—,火 86.7,,,,,11,烺,lǎng,lang,third,(said of fire) bright
,7232,7232,—,火 86.7,,,,,11,焌,jùn,jun,fourth,to light
,7233,7233,—,水 85.8,,,,,11,淏,hào,hao,fourth,
,7234,7234,—,水 85.8,,,,,11,𬇹,guó,guo,second,name of a river; placename in Jiangsu province
,7235,7235,—,水 85.8,,,,,11,淟,tiǎn,tian,third,turbid; muddy
,7236,7236,—,水 85.8,,,,,11,淜,píng,ping,second,roar of dashing waves
,7237,7237,—,水 85.8,,,,,11,淴,hū,hu,first,
,7238,7238,—,水 85.8,,,,,11,淯,yù,yu,fourth,name of river; old name of Baihe in Henan
,7239,7239,—,水 85.8,,,,,11,湴,bàn,ban,fourth,"(Cant.) mud, mire"
,7240,7240,—,水 85.8,,,,,11,涴,wò,wo,fourth,daub
,7241,7241,—,玉 96.6,,,,,11,𬍡,dàng,dang,fourth,
,7242,7242,—,心 61.8,,,,,11,㥄,líng,ling,second,"to pity; to commiserate; to have sympathy or compassion for, scared; afraid; fearful"
,7243,7243,—,心 61.8,,,,,11,惛,hūn,hun,first,"confused, stupid, dull, senile"
,7244,7244,—,心 61.8,,,,,11,惔,tán,tan,second,cheerful
,7245,7245,—,心 61.8,,,,,11,悰,cóng,cong,second,"enjoy, amuse, please; joy"
,7246,7246,—,心 61.8,,,,,11,惙,chuò,chuo,fourth,"sad, melancholy, grieving, mournful"
,7247,7247,—,宀 40.8,,,,,11,寁,zǎn,zan,third,"quick, fast"
,7248,7248,5955,辵 162.8,67,"0,000035%",,,11,逭,huàn,huan,fourth,"to escape from; to flee, to avoid"
,7249,7249,—,言 149.9,,,,,11,𬤇,yīn,yin,first,"respectful, venerable"
,7250,7250,—,言 149.9,,,,,11,𫍯,shén,shen,second,"in harmony, in agreement; sincere"
,7251,7251,5808,衣 145.6,79,"0,000041%",,,11,袼,gē,ge,first,"gusset, cloth fitting sleeve under armpit"
,7252,7252,7190,衣 145.6,9,"0,000005%",,,11,裈,kūn,kun,first,"trousers, pants, shorts, drawers"
,7253,7253,8320,示 113.7,2,"0,000001%",,,11,祲,jìn,jin,fourth,ominous or sinister spirit; vigor
,7254,7254,—,言 149.9,,,,,11,𬤊,shì,shi,fourth,to examine; to consider; honest
,7255,7255,—,言 149.9,,,,,11,𫍲,xiǎo,xiao,third,"scold, censure; lead people toward virtuous ways; small, little"
,7256,7256,6758,言 149.9,18,"0,000009%",,,11,谞,xū,xu,first,knowledge; discrimination; treachery
,7257,7257,7992,色 139.5,3,"0,000002%",,,11,艴,fú,fu,second,the countenance changing
,7258,7258,—,弓 57.8,,,,,11,弸,péng,peng,second,a bow stretched to the full; tensely drawn
,7259,7259,—,弓 57.8,,,,,11,弶,jiàng,jiang,fourth,a snare
,7260,7260,—,阜 170.9,,,,,11,𬯎,tuí,tui,second,"to fall in ruins, to collapse"
,7261,7261,7256,阜 170.9,8,"0,000004%",,,11,隃,shù,shu,fourth,to exceed; a state in Shanxi province
,7262,7262,—,女 38.8,,,,,11,婞,xìng,xing,fourth,hate
,7263,7263,—,女 38.8,,,,,11,娵,jū,ju,first,star
,7264,7264,—,女 38.9,,,,,11,婼,chuò,chuo,fourth,person
,7265,7265,—,女 38.9,,,,,11,媖,yīng,ying,first,beauty; beautiful
,7266,7266,—,女 38.7,,,,,11,婳,huà,hua,fourth,tranquil
,7267,7267,—,女 38.8,,,,,11,婍,qǐ,qi,third,
,7268,7268,—,女 38.8,,,,,11,婌,shú,shu,second,
,7269,7269,—,女 38.8,,,,,11,婫,kūn,kun,first,
,7270,7270,—,女 38.8,,,,,11,婤,chōu,chou,first,lovely
,7271,7271,—,女 38.8,,,,,11,婘,quán,quan,second,
,7272,7272,—,女 38.8,,,,,11,婠,wān,wan,first,
,7273,7273,—,糸 120.8,,,,,11,𬘬,qiàn,qian,fourth,dark red
,7274,7274,—,糸 120.8,,,,,11,𬘭,chēn,chen,first,
,7275,7275,—,馬 187.8,,,,,11,𬴂,fēi,fei,first,horse; run
,7276,7276,—,馬 187.8,,,,,11,𫘦,táo ,tao ,second,used in 𫘦𬳿
,7277,7277,7355,糸 120.8,7,"0,000004%",,,11,绹,táo,tao,second,"to braid, twist; twisted or braided"
,7278,7278,—,糸 120.8,,,,,11,𫟅,liáng,liang,second,
,7279,7279,—,糸 120.8,,,,,11,𬘯,zhǔn,zhun,third,
,7280,7280,7108,馬 187.12,10,"0,000005%",,,11,骕,sù,su,fourth,name of a famous horse
,7281,7281,—,馬 187.8,,,,,11,𫘧,lù,lu,fourth,name of a legendary swift horse
,7282,7282,6587,糸 120.6,25,"0,000013%",,,12,絜,jié,jie,second,"a marking line; ascertain, assess; measure"
,7283,7283,—,玉 96.8,,,,,12,珷,wǔ,wu,third,an inferior gem
,7284,7284,—,玉 96.8,,,,,12,琲,bèi,bei,fourth,necklace
,7285,7285,—,玉 96.8,,,,,12,琡,chù,chu,fourth,
,7286,7286,—,玉 96.8,,,,,12,琟,wéi,wei,second,
,7287,7287,—,玉 96.8,,,,,12,琔,diàn,dian,fourth,
,7288,7288,—,玉 96.8,,,,,12,琭,lù,lu,fourth,jade like stone
,7289,7289,—,土 32.9,,,,,12,堾,chūn,chun,first,
,7290,7290,—,土 32.9,,,,,12,堼,hèng,heng,fourth,
,7291,7291,—,手 64.9,,,,,12,揕,zhèn,zhen,fourth,"roll up the sleeves; fight bare-fisted; strike, stab"
,7292,7292,—,土 32.9,,,,,12,㙘,yāo,yao,first,used in naming a place
,7293,7293,—,土 32.9,,,,,12,堧,ruán,ruan,second,adjoin
,7294,7294,—,口 30.9,,,,,12,喆,zhé,zhe,second,a sage; wise; sagacious
,7295,7295,—,土 32.9,,,,,12,堨,yè,ye,fourth,daub
,7296,7296,—,土 32.9,,,,,12,塅,duàn,duan,fourth,
,7297,7297,6986,土 32.9,12,"0,000006%",,,12,堠,hòu,hou,fourth,"battlements, battlemented walls"
,7298,7298,6794,糸 120.6,17,"0,000009%",,,12,絷,zhí,zhi,second,"confine, tie up; imprison, shackle"
,7299,7299,—,土 32.9,,,,,12,𪣻,lǒu,lou,third,small mound
,7300,7300,—,土 32.9,,,,,12,𡎚,piǎn,pian,third,
,7301,7301,6009,艸 140.9,62,"0,000032%",,,12,葜,qiā,qia,first,smilax china
,7302,7302,—,心 61.8,,,,,12,惎,jì,ji,fourth,"injure, harm, murder"
,7303,7303,—,艸 140.9,,,,,12,萳,nǎn,nan,third,
,7304,7304,7361,艸 140.9,7,"0,000004%",,,12,葙,xiāng,xiang,first,feather cockscomb (Celosia argentea)
,7305,7305,—,革 177.3,,,,,12,靬,qián,qian,second,Han dynasty name for countries in far West
,7306,7306,7311,艸 140.9,7,"0,000004%",,,12,葴,zhēn,zhen,first,Physalis alkekengi
,7307,7307,7435,艸 140.9,6,"0,000003%",,,12,蒇,chǎn,chan,third,"finish, complete; solve; complete"
,7308,7308,8999,艸 140.9,1,"0,000001%",,,12,蒈,kǎi,kai,third,an organic compound
,7309,7309,7195,邑 163.11,9,"0,000005%",,,12,鄚,mào,mao,fourth,surname
,7310,7310,7710,艸 140.9,5,"0,000003%",,,12,蒉,kuì,kui,fourth,edible amaranth; straw basket
,7311,7311,7548,艸 140.10,5,"0,000003%",,,12,蓇,gǔ,gu,third,follicles of plants
,7312,7312,7028,艸 140.9,11,"0,000006%",,,12,萩,qiū,qiu,first,scandent hop; tree
,7313,7313,6707,艸 140.10,20,"0,000010%",,,12,蒐,sōu,sou,first,"collect, gather, assemble; seek; spring hunt; assemble for war"
,7314,7314,7095,艸 140.9,10,"0,000005%",,,12,葰,suī,sui,first,
,7315,7315,5650,艸 140.9,97,"0,000050%",,,12,葎,lǜ,lü,fourth,Humulus japonicus
,7316,7316,9293,邑 163.10,1,"0,000001%",,,12,鄑,zī,zi,first,kick; place in Shandong province
,7317,7317,—,艸 140.9,,,,,12,蒎,pài,pai,fourth,pinane
,7318,7318,8466,艸 140.9,2,"0,000001%",,,12,葖,tū,tu,first,follicle
,7319,7319,8973,艸 140.9,1,"0,000001%",,,12,蒄,guān,guan,first,"meaning unknown (""herb mentioned in old books"")"
,7320,7320,—,艸 140.9,,,,,12,萹,biǎn,bian,third,grass
,7321,7321,—,木 75.8,,,,,12,棤,cuò,cuo,fourth,rough tree bark
,7322,7322,—,木 75.8,,,,,12,棽,shēn,shen,first,
,7323,7323,—,木 75.8,,,,,12,棫,yù,yu,fourth,thorny shrub with yellow flowers; a kind of oak
,7324,7324,—,木 75.8,,,,,12,椓,zhuó,zhuo,second,"strike, hit, beat, hammer"
,7325,7325,—,木 75.8,,,,,12,椑,bēi,bei,first,oval
,7326,7326,—,木 75.8,,,,,12,𬃊,zhì,zhi,fourth,
,7327,7327,7073,鳥 196.7,10,"0,000005%",,,12,鹀,wú,wu,second,bunting (bird)
,7328,7328,—,木 75.8,,,,,12,椆,chóu,chou,second,species of tree resistant to cold weather
,7329,7329,—,木 75.8,,,,,12,棓,bàng,bang,fourth,"hit, strike"
,7330,7330,—,木 75.8,,,,,12,棬,quān,quan,first,bowl
,7331,7331,—,木 75.8,,,,,12,棪,yǎn,yan,third,tree
,7332,7332,—,木 75.8,,,,,12,椀,wǎn,wan,third,bowl; cup; dish
,7333,7333,8305,木 75.9,2,"0,000001%",,,12,楗,jiàn,jian,fourth,"bar of door, bolt of lock"
,7334,7334,—,鳥 196.7,,,,,12,𬷕,bǔ,bu,third,pigeon; large bustard
,7335,7335,—,生 100.7,,,,,12,甦,sū,su,first,"be reborn; resuscitate, revive"
,7336,7336,7955,酉 164.6,3,"0,000002%",,,12,酦,fā,fa,first,"fermentation, brewing"
,7337,7337,7086,見 147.8,10,"0,000005%",,,12,觌,dí,di,second,see; interview; be admitted to audience
,7338,7338,—,大 37.9,,,,,12,奡,ào,ao,fourth,arrogant
,7339,7339,—,白 106.7,,,,,12,皕,bì,bi,fourth,"two-hundred (rarely used), 200"
,7340,7340,5369,石 112.7,128,"0,000066%",,,12,硪,wò,wo,fourth,used in 石硪
,7341,7341,5908,欠 76.8,70,"0,000036%",,,12,欹,yī,yi,first,fierce dog; interjection of pleas; (Cant.) strange
,7342,7342,8417,言 149.5,2,"0,000001%",,,12,詟,zhé,zhe,second,fear; envy; loquacious
,7343,7343,—,車 159.8,,,,,12,𫐐,ní,ni,second,the cross-bar at the end of a carriage pole; linchpin of a large carriage
,7344,7344,7765,車 159.8,4,"0,000002%",,,12,辌,liáng,liang,second,a hearse; a carriage
,7345,7345,—,木 75.8,,,,,12,棐,fěi,fei,third,species of yew
,7346,7346,6692,齒 211.4,21,"0,000011%",,,12,龂,yín,yin,second,gums (of the teeth); to dispute
,7347,7347,—,齒 211.4,,,,,12,𬹼,xiè,xie,fourth,
,7348,7348,6783,黹 204.0,17,"0,000009%",,,12,黹,zhǐ,zhi,third,"embroidery, needlework; radical"
,7349,7349,—,牙 92.8,,,,,12,牚,chēng,cheng,first,variant of 撑
,7350,7350,9066,目 109.7,1,"0,000001%",,,12,睎,xī,xi,first,to long for; to gaze at
,7351,7351,—,日 72.8,,,,,12,晫,zhuó,zhuo,second,bright
,7352,7352,—,日 72.8,,,,,12,晪,tiǎn,tian,third,
,7353,7353,—,日 72.8,,,,,12,晱,shǎn,shan,third,
,7354,7354,—,足 157.5,,,,,12,𧿹,mǔ,mu,third,"thumb, big toe"
,7355,7355,5555,虫 142.6,108,"0,000056%",,,12,蛑,móu,mou,second,a marine crab
,7356,7356,—,田 102.7,,,,,12,畯,jùn,jun,fourth,rustic; crude
,7357,7357,—,斗 68.8,,,,,12,斝,jiǎ,jia,third,small jade wine cup
,7358,7358,—,口 30.9,,,,,12,喤,huáng,huang,second,ah; harmony
,7359,7359,—,山 46.9,,,,,12,崶,fēng,feng,first,name of a legendary hill
,7360,7360,—,山 46.9,,,,,12,嵁,kān,kan,first,rugged
,7361,7361,—,山 46.9,,,,,12,𫶇,dié,die,second,
,7362,7362,5365,山 46.9,128,"0,000066%",,,12,崾,yǎo,yao,third,place name in Shanxi province
,7363,7363,—,山 46.9,,,,,12,嵅,hán,han,second,
,7364,7364,—,山 46.9,,,,,12,崿,è,e,fourth,cliffs
,7365,7365,—,山 46.12,,,,,12,嵚,qīn,qin,first,"lofty, towering"
,7366,7366,6475,羽 124.6,30,"0,000016%",,,12,翙,huì,hui,fourth,noise of bird's wings
,7367,7367,—,頁 181.6,,,,,12,𫖮,yǐ,yi,third,quiet
,7368,7368,—,囗 31.9,,,,,12,圌,chuán,chuan,second,fence
,7369,7369,—,囗 31.9,,,,,12,圐,kū,ku,first,used in 圐圙
,7370,7370,9283,貝 154.14,1,"0,000001%",,,12,赑,bì,bi,fourth,strong
,7371,7371,4600,水 85.8,288,"0,000149%",,,12,淼,miǎo,miao,third,a wide expanse of water
,7372,7372,6589,貝 154.8,25,"0,000013%",,,12,赒,zhōu,zhou,first,give for charity
,7373,7373,—,金 167.7,,,,,12,鿏,mài,mai,fourth,meitnerium
,7374,7374,8592,金 167.7,2,"0,000001%",,,12,铹,láo,lao,second,lawrencium (Lr)
,7375,7375,—,金 167.7,,,,,12,𬭊,dù,du,fourth,(chemistry) dubnium (Db)
,7376,7376,7654,金 167.7,5,"0,000003%",,,12,铽,tè,te,fourth,terbium
,7377,7377,—,金 167.7,,,,,12,𨱇,qiú,qiu,second,
,7378,7378,—,金 167.7,,,,,12,𫓶,xuān,xuan,first,
,7379,7379,5923,金 167.7,69,"0,000036%",,,12,锊,lüè,lüe,fourth,6 oz; ancient measurement
,7380,7380,6048,金 167.7,59,"0,000030%",,,12,锍,liǔ,liu,third,
,7381,7381,6226,金 167.7,44,"0,000023%",,,12,锎,kāi,kai,first,caesium
,7382,7382,—,金 167.7,,,,,12,𬭎,hóng,hong,second,state in today's Hubei province
,7383,7383,6131,金 167.7,52,"0,000027%",,,12,锓,qǐn,qin,third,carve
,7384,7384,—,牛 93.8,,,,,12,犇,bēn,ben,first,"run fast, flee; rush about; run"
,7385,7385,7998,頁 181.6,3,"0,000002%",,,12,颋,tǐng,ting,third,straight
,7386,7386,8526,禾 115.7,2,"0,000001%",,,12,稌,tú,tu,second,glutinous rice
,7387,7387,—,竹 118.6,,,,,12,筀,guì,gui,fourth,bamboo (archaic)
,7388,7388,7303,竹 118.6,7,"0,000004%",,,12,筘,kòu,kou,fourth,(a measure of width of cloth)
,7389,7389,—,竹 118.6,,,,,12,筜,dāng,dang,first,tall bamboo
,7390,7390,8956,竹 118.7,1,"0,000001%",,,12,筥,jǔ,ju,third,round-shaped bamboo basket for holding rice
,7391,7391,7342,竹 118.6,7,"0,000004%",,,12,筅,xiǎn,xian,third,bamboo brush; halberd
,7392,7392,—,人 9.10,,,,,12,傃,sù,su,fourth,
,7393,7393,—,人 9.10,,,,,12,傉,nù,nu,fourth,
,7394,7394,6829,羽 124.7,16,"0,000008%",,,12,翛,xiāo,xiao,first,look of rumpled feathers; bedraggled; hasty; rapid flight
,7395,7395,—,人 9.10,,,,,12,傒,xī,xi,first,personal name; servant
,7396,7396,—,人 9.10,,,,,12,傕,jué,jue,second,used in old names
,7397,7397,5924,舟 137.6,69,"0,000036%",,,12,舾,xī,xi,first,(Cant.) equipment on a ship
,7398,7398,—,田 102.7,,,,,12,畬,shē,she,first,reclaimed field
,7399,7399,—,頁 181.6,,,,,12,𫖯,fǔ,fu,third,Alternative form of 俯
,7400,7400,9480,肉 130.8,1,"0,000001%",,,12,脿,biāo,biao,first,variant of 膘
,7401,7401,6660,肉 130.11,22,"0,000011%",,,12,腘,guó,guo,second,knee pit; popliteal fossa (medicine)
,7402,7402,—,肉 130.8,,,,,12,䐃,jùn,jun,fourth,"fat in the abdomen or intestine, protuberances of the muscle, a fetus inside the belly"
,7403,7403,7577,肉 130.8,5,"0,000003%",,,12,腙,zōng,zong,first,an organic compound
,7404,7404,—,肉 130.8,,,,,12,腒,jū,ju,first,game
,7405,7405,—,頁 181.6,,,,,12,𬱟,wěi,wei,third,quiet
,7406,7406,5861,魚 195.4,74,"0,000038%",,,12,鲃,bā,ba,first,"a kind of fish; a bonito, (same as鮁) shark"
,7407,7407,—,犬 94.9,,,,,12,猰,yà,ya,fourth,
,7408,7408,—,鳥 196.7,,,,,12,𫛭,kuáng,kuang,second,buzzard
,7409,7409,—,犬 94.9,,,,,12,猯,tuān,tuan,first,
,7410,7410,—,犬 94.9,,,,,12,㺄,yǔ,yu,third,(same as狳) (a variant of貐) a kind of beast
,7411,7411,8087,食 184.10,3,"0,000002%",,,12,馉,gǔ,gu,third,
,7412,7412,—,冫 15.10,,,,,12,凓,lì,li,fourth,shiver; severe cold
,7413,7413,6552,邑 163.10,26,"0,000013%",,,12,鄗,hào,hao,fourth,county in Hebei province
,7414,7414,—,广 53.9,,,,,12,𫷷,xīn,xin,first,to prepare horses and chariots for battle
,7415,7415,—,广 53.10,,,,,12,廋,sōu,sou,first,"conceal, hide; search for, seek"
,7416,7416,—,广 53.10,,,,,12,廆,guī,gui,first,a room; the wall of a house; a man's name
,7417,7417,—,邑 163.10,,,,,12,鄌,táng,tang,second,
,7418,7418,5749,米 119.6,85,"0,000044%",,,12,粢,zī,zi,first,grain offered in ritual sacrifice; millet
,7419,7419,7191,辵 162.9,9,"0,000005%",,,12,遆,tí,ti,second,
,7420,7420,—,方 70.8,,,,,12,旐,zhào,zhao,fourth,an embroidered pennant
,7421,7421,—,門 169.9,,,,,12,𬮱,yīn,yin,first,"gate of small wall, small wall, city; bend, block up"
,7422,7422,—,火 86.8,,,,,12,焞,tūn,tun,first,dim
,7423,7423,—,火 86.8,,,,,12,𬊤,chǎn,chan,third,to make a fire; blaze
,7424,7424,—,欠 76.8,,,,,12,欻,chuā,chua,first,"sudden, abrupt, quick"
,7425,7425,—,水 85.9,,,,,12,𣸣,fén,fen,second,
,7426,7426,—,水 85.10,,,,,12,溚,tǎ,ta,third,(Cant.) to get wet by rain; to drip
,7427,7427,—,水 85.14,,,,,12,溁,yíng,ying,second,
,7428,7428,—,水 85.9,,,,,12,湝,jiē,jie,first,flow
,7429,7429,—,水 85.9,,,,,12,渰,yǎn,yan,third,(of cloud) forming or rising
,7430,7430,6011,水 85.9,62,"0,000032%",,,12,湓,pén,pen,second,an affluent of the River Yangtze near Kiukiang
,7431,7431,—,水 85.9,,,,,12,㴔,xī,xi,first,"(same as潝) the noise of flowing water, swift flowing water (same as non-classical form of澀) rough; harsh; not smooth, a slightly bitter taste"
,7432,7432,—,水 85.9,,,,,12,渟,tíng,ting,second,(of water) not flowing; clear
,7433,7433,—,水 85.10,,,,,12,溠,zhà,zha,fourth,river in Hubei province
,7434,7434,—,水 85.9,,,,,12,渼,měi,mei,third,ripples
,7435,7435,—,水 85.11,,,,,12,溇,lóu,lou,second,
,7436,7436,—,水 85.9,,,,,12,湣,mǐn,min,third,"mixed, confused; pity"
,7437,7437,—,水 85.9,,,,,12,湑,xū,xu,first,to strain spirits; river in Guangxi; abundant; bright
,7438,7438,—,水 85.10,,,,,12,溞,sāo,sao,first,
,7439,7439,—,心 61.9,,,,,12,愐,miǎn,mian,third,bashful; to consider
,7440,7440,—,心 61.9,,,,,12,愃,xuān,xuan,first,relax
,7441,7441,—,攴 66.16,,,,,12,敩,xiào,xiao,fourth,
,7442,7442,5935,用 101.7,68,"0,000035%",,,12,甯,níng,ning,second,peaceful
,7443,7443,—,木 75.8,,,,,12,棨,qǐ,qi,third,tally or wooden pass
,7444,7444,—,戶 63.8,,,,,12,扊,yǎn,yan,third,upright bar for fastening door
,7445,7445,5885,衣 145.7,72,"0,000037%",,,12,裣,liǎn,lian,third,used in 裣衽
,7446,7446,7219,示 113.8,9,"0,000005%",,,12,祼,guàn,guan,fourth,libation
,7447,7447,—,女 38.9,,,,,12,婻,nàn,nan,fourth,
,7448,7448,—,女 38.9,,,,,12,媆,ruǎn,ruan,third,"young, tender, soft, delicate"
,7449,7449,—,女 38.9,,,,,12,媞,shì,shi,fourth,at ease
,7450,7450,—,女 38.9,,,,,12,㛹,pián,pian,second,pretty; exquisite; fine
,7451,7451,—,女 38.9,,,,,12,媓,huáng,huang,second,
,7452,7452,—,女 38.9,,,,,12,媂,dì,di,fourth,
,7453,7453,—,女 38.9,,,,,12,媄,měi,mei,third,beautiful
,7454,7454,6554,毛 82.8,26,"0,000013%",,,12,毵,sān,san,first,long feathers; scraggy
,7455,7455,7243,矛 110.7,8,"0,000004%",,,12,矞,yù,yu,fourth,"bore with awl; bright, charming"
,7456,7456,—,馬 187.9,,,,,12,𬴃,huō,huo,first,
,7457,7457,—,馬 187.9,,,,,12,𫘨,tí,ti,second,"a horse, mule"
,7458,7458,7546,糸 120.10,5,"0,000003%",,,12,缊,yūn,yun,first,"tangled hemp, raveled silk; vague, confused"
,7459,7459,—,糸 120.9,,,,,12,缐,xiàn,xian,fourth,
,7460,7460,6594,馬 187.9,25,"0,000013%",,,12,骙,kuí,kui,second,(of a horse) lively; vigorous
,7461,7461,—,玉 96.9,,,,,13,瑃,chūn,chun,first,
,7462,7462,—,玉 96.9,,,,,13,瑓,liàn,lian,fourth,
,7463,7463,—,玉 96.9,,,,,13,瑅,tí,ti,second,
,7464,7464,—,玉 96.9,,,,,13,瑆,xīng,xing,first,
,7465,7465,8771,鳥 196.8,2,"0,000001%",,,19,䴖,jīng,jing,first,a kind of water bird
,7466,7466,—,玉 96.9,,,,,13,瑖,duàn,duan,fourth,
,7467,7467,—,玉 96.9,,,,,13,瑝,huáng,huang,second,
,7468,7468,—,玉 96.9,,,,,13,瑔,quán,quan,second,jade; shell
,7469,7469,—,玉 96.9,,,,,13,瑀,yǔ,yu,third,stone resembling jade; agate
,7470,7470,—,玉 96.9,,,,,13,𤧛,dì,di,fourth,
,7471,7471,—,玉 96.10,,,,,13,瑳,cuō,cuo,first,"luster of gem; lustrous, bright"
,7472,7472,—,玉 96.9,,,,,13,瑂,méi,mei,second,(stone which resembles jade)
,7473,7473,—,山 46.11,,,,,13,嶅,áo,ao,second,
,7474,7474,—,玉 96.9,,,,,13,瑑,zhuàn,zhuan,fourth,"carve, engrave, cut out, sculpt"
,7475,7475,7177,辵 162.10,9,"0,000005%",,,13,遘,gòu,gou,fourth,to meet; to come across
,7476,7476,—,髟 190.3,,,,,13,髢,dí,di,second,wig
,7477,7477,8676,土 32.10,2,"0,000001%",,,13,塥,gé,ge,second,dry clay lump
,7478,7478,—,土 32.9,,,,,13,堽,gāng,gang,first,mound; used in place names
,7479,7479,8358,赤 155.6,2,"0,000001%",,,13,赪,chēng,cheng,first,deep red
,7480,7480,—,手 64.11,,,,,13,摛,chī,chi,first,"to spread (name, news); to be known"
,7481,7481,—,土 32.10,,,,,13,塝,bàng,bang,fourth,"flat bank, plateau"
,7482,7482,—,手 64.10,,,,,13,搒,bàng,bang,fourth,pole; beat
,7483,7483,8301,手 64.10,2,"0,000001%",,,13,搌,zhǎn,zhan,third,to wipe tears; to bind
,7484,7484,—,艸 140.10,,,,,13,蒱,pú,pu,second,gambling game with dice
,7485,7485,6795,艸 140.10,17,"0,000009%",,,13,蒨,qiàn,qian,fourth,"lush vegetation, luxuriant growth"
,7486,7486,7594,艸 140.10,5,"0,000003%",,,13,蓏,luǒ,luo,third,fruit of plant; melon
,7487,7487,6952,艸 140.11,13,"0,000007%",,,13,蔀,bù,bu,fourth,screen
,7488,7488,—,艸 140.10,,,,,13,蓢,lǎng,lang,third,"(Cant.) brake, fern"
,7489,7489,8044,艸 140.10,3,"0,000002%",,,13,蓂,míng,ming,second,lucky place
